Data;Vendas
jan/03;44.3
fev/03;42.7
mar/03;42.8
abr/03;43.7
mai/03;45.6
jun/03;43
jul/03;46.2
ago/03;46.2
set/03;46.3
out/03;49.3
nov/03;48.8
dez/03;61.8
jan/04;47.2
fev/04;44.8
mar/04;50.9
abr/04;49
mai/04;51.4
jun/04;50.3
jul/04;52.3
ago/04;51.8
set/04;50.8
out/04;52.9
nov/04;53.3
dez/04;68.4
jan/05;50.7
fev/05;45.2
mar/05;53
abr/05;50.6
mai/05;52.2
jun/05;51.9
jul/05;52.7
ago/05;54.7
set/05;51.8
out/05;53.8
nov/05;55.2
dez/05;70.7
jan/06;52.7
fev/06;46.9
mar/06;55.1
abr/06;52
mai/06;56.8
jun/06;52.8
jul/06;56.1
ago/06;59
set/06;57.1
out/06;59.6
nov/06;60.8
dez/06;74.8
jan/07;58.1
fev/07;52.5
mar/07;62.2
abr/07;59.8
mai/07;64.7
jun/07;61.9
jul/07;63.7
ago/07;67.9
set/07;63.9
out/07;69.4
nov/07;69.5
dez/07;82.8
jan/08;66.4
fev/08;62.2
mar/08;69.7
abr/08;69.2
mai/08;72.3
jun/08;70.6
jul/08;74
ago/08;72.6
set/08;74
out/08;71.8
nov/08;66.6
dez/08;83.8
jan/09;68.3
fev/09;63.1
mar/09;74
abr/09;68.7
mai/09;74.3
jun/09;78
jul/09;74.7
ago/09;76.7
set/09;80.9
out/09;79.9
nov/09;77.4
dez/09;95.4
jan/10;75.3
fev/10;71.8
mar/10;90.5
abr/10;77
mai/10;81.4
jun/10;80.5
jul/10;84
ago/10;87.4
set/10;85.7
out/10;88.7
nov/10;90.6
dez/10;109.8
jan/11;83.9
fev/11;82.3
mar/11;88
abr/11;86.3
mai/11;91.9
jun/11;88
jul/11;90.1
ago/11;92.1
set/11;89.7
out/11;90
nov/11;93.4
dez/11;114.5
jan/12;90.8
fev/12;84.9
mar/12;97.1
abr/12;88.8
mai/12;96.5
jun/12;99
jul/12;99.3
ago/12;106.5
set/12;91.5
out/12;103.1
nov/12;100.1
dez/12;120.3
jan/13;97.1
fev/13;85.9
mar/13;100.2
abr/13;96.9
mai/13;100.7
jun/13;97
jul/13;103
ago/13;105.6
set/13;98.6
out/13;105.4
nov/13;106.1
dez/13;123.7
jan/14;101.7
fev/14;92.9
mar/14;94.6
abr/14;96.9
mai/14;101.4
jun/14;91.2
jul/14;97.9
ago/14;98.5
set/14;97.4
out/14;102.9
nov/14;103.6
dez/14;121
jan/15;96.7
fev/15;83.3
mar/15;93.9
abr/15;88.9
mai/15;90.9
jun/15;87.9
jul/15;91.1
ago/15;89
set/15;86.2
out/15;90.7
nov/15;89.9
dez/15;107.8
jan/16;83
fev/16;78.7
mar/16;86.4
abr/16;80.7
mai/16;81.6
jun/16;80.9
jul/16;81.4
ago/16;82.2
set/16;78.9
out/16;81.6
nov/16;85.2
dez/16;100.5
jan/17;83
fev/17;74.9
mar/17;84.8
abr/17;80.2
mai/17;85.6
jun/17;84.4
jul/17;86
ago/17;88.5
set/17;86.1
out/17;87.8
nov/17;92.6
dez/17;107.4
jan/18;88.3
fev/18;78.9
mar/18;92.3
abr/18;87.2
mai/18;87.4
jun/18;87.6
jul/18;88.5
ago/18;94.6
set/18;88.1
out/18;93.3
nov/18;98.1
dez/18;109.3
jan/19;91.4
fev/19;85
mar/19;89.2
abr/19;90
mai/19;93.5
jun/19;89.3
jul/19;95.3
ago/19;96
set/19;92
out/19;98.5
nov/19;101.9
dez/19;113.8
jan/20;94.5
fev/20;87.5
mar/20;83.5
abr/20;65.3
mai/20;79.6
